Date,Total Attendance,Total Attendence > 4 hours
W/E 05/01/2014,"387,463","22,113"
W/E 12/01/2014,"383,566","21,083"
W/E 19/01/2014,"390,532","17,779"
W/E 26/01/2014,"398,018","15,588"
W/E 02/02/2014,"406,929","19,251"
W/E 09/02/2014,"418,413","23,818"
W/E 16/02/2014,"409,118","23,204"
W/E 23/02/2014,"410,878","20,489"
W/E 02/03/2014,"429,996","22,526"
W/E 09/03/2014,"438,615","21,915"
W/E 16/03/2014,"446,850","16,729"
W/E 23/03/2014,"450,955","18,852"
W/E 30/03/2014,"433,777","18,263"
W/E 06/04/2014,"450,015","25,436"
W/E 13/04/2014,"428,084","19,793"
W/E 20/04/2014,"432,677","14,952"
W/E 27/04/2014,"442,159","23,025"
W/E 04/05/2014,"441,067","21,898"
W/E 11/05/2014,"448,933","22,984"
W/E 18/05/2014,"450,219","23,120"
W/E 25/05/2014,"457,791","24,514"
W/E 01/06/2014,"430,555","22,235"
W/E 08/06/2014,"444,197","24,995"
W/E 15/06/2014,"455,876","22,076"
W/E 22/06/2014,"460,936","19,528"
W/E 29/06/2014,"455,391","20,005"
W/E 06/07/2014,"450,521","21,583"
W/E 13/07/2014,"453,121","20,985"
W/E 20/07/2014,"456,599","23,572"
W/E 27/07/2014,"451,114","22,353"
W/E 03/08/2014,"431,613","19,009"
W/E 10/08/2014,"421,379","20,724"
W/E 17/08/2014,"401,633","18,435"
W/E 24/08/2014,"397,339","17,578"
W/E 31/08/2014,"411,982","23,996"
W/E 07/09/2014,"422,837","25,969"
W/E 14/09/2014,"431,057","22,190"
W/E 21/09/2014,"441,200","23,537"
W/E 28/09/2014,"433,844","21,284"
W/E 05/10/2014,"435,217","24,044"
W/E 12/10/2014,"422,636","25,969"
W/E 19/10/2014,"433,392","30,323"
W/E 26/10/2014,"427,291","26,789"
W/E 02/11/2014,"417,460","26,212"
W/E 09/11/2014,"418,413","27,364"
W/E 16/11/2014,"429,287","30,547"
W/E 23/11/2014,"430,386","26,324"
W/E 30/11/2014,"433,100","28,007"
W/E 07/12/2014,"436,377","35,912"
W/E 14/12/2014,"440,447","44,859"
W/E 21/12/2014,"446,501","49,825"
W/E 28/12/2014,"403,314","38,279"
