country,big_mac_price,gdp_per_capita,life_expectancy,unemployment
Argentina,3.47,20200,77.69,9.3
Australia,4.28,48800,82.15,5.8
Brazil,5.12,15200,73.53,13.7
Britain,3.73,42500,80.54,4.6
Canada,4.51,46200,81.76,6.6
Chile,3.64,24000,78.61,5.9
China,2.83,15400,75.41,4.1
Colombia,3.31,14200,75.48,8.9
Costa Rica,4.06,16100,78.4,9.7
Czech Republic,2.91,33200,78.48,5.2
Denmark,4.22,46600,79.25,4.2
Egypt,1.46,12100,73.7,8.1
Hong Kong,2.48,58100,82.86,4.3
Hungary,3.05,27200,75.69,4.5
India,2.49,6700,68.13,3.4
Indonesia,2.33,11700,72.45,5.7
Israel,4.38,34800,82.27,4.3
Japan,3.26,38900,84.74,3.0
Malaysia,1.79,27200,74.75,3.5
Mexico,2.23,18900,75.65,3.7
New Zealand,4.19,37100,81.05,5.1
Norway,5.67,69300,81.7,4.8
Pakistan,3.58,5100,67.39,6.7
Peru,3.24,13000,73.48,6.1
Philippines,2.68,7700,68.96,5.6
Poland,2.3,27700,77.4,8.2
Russia,2.15,26100,70.47,6.0
Saudi Arabia,3.2,54100,75.05,11.5
Singapore,3.89,87100,84.68,1.9
South Africa,1.89,13200,62.34,26.5
South Korea,3.68,37900,80.04,4.9
Sri Lanka,2.33,11200,76.56,4.2
Sweden,5.26,49700,81.98,6.1
Switzerland,6.35,59400,82.5,3.6
Taiwan,2.16,47800,79.98,3.9
Thailand,3.35,16800,74.43,0.9
Turkey,2.75,21100,74.57,11.8
UAE,3.54,67700,77.29,0.0
Ukraine,1.54,8200,71.57,9.9
United States,5.06,57300,79.68,4.4
Uruguay,4.35,21600,77.0,7.7
Venezuela,5.25,15100,74.54,18.1
Vietnam,2.66,6400,73.16,3.4
Austria,3.56,47900,81.39,8.6
Belgium,4.14,44900,80.88,7.6
Estonia,3.25,29500,76.47,6.3
Finland,4.76,41800,80.77,7.9
France,4.29,42400,81.75,9.6
Germany,3.97,48200,80.57,4.0
Greece,3.51,26800,80.43,23.0
Ireland,4.19,69400,80.68,6.2
Italy,4.4,36300,82.12,11.6
Netherlands,3.78,50800,81.23,5.4
Portugal,3.19,28500,79.16,10.2
Spain,4.14,36500,81.57,18.0
