Number_Plate,Price
HO07 TWC,8051
YW59 CBS,15113
HJ56 DKV,8078
HT65 KGK,17552
FO10 WUY,13678
SX12 HGK,21334
QN65 TJB,21876
AM08 OJO,12786
BO13 EZY,14461
XD60 CQO,6504
BF10 JCD,15215
UJ12 FBM,17244
WJ14 VSA,10298
FP61 RBH,16238
TO14 EQU,22645
HP10 OXG,15328
FA08 KPV,4768
NA56 LPR,4898
YU15 FEU,16739
OG57 ODN,5038
IW63 PVZ,15389
LC58 ZEH,8050
TO10 IIB,14287
MU58 DBE,7258
IE62 OKT,17948
BL10 ZQK,9899
KE11 DOG,9335
MD11 WGV,12224
OD14 IZL,16091
YF05 BTX,4908
WX66 FTB,20889
KO14 ALJ,20068
LF07 TWB,5540
CU13 HUL,20249
RV61 QDH,11545
PB60 EQQ,11652
OX65 CRH,17908
JF60 STN,10253
LO07 ZXY,5816
PJ59 VLF,8949
WQ63 TSW,14103
NX55 MYL,3756
NT62 ILB,8107
NB60 UVU,14757
GL60 RDS,17896
AK63 ADK,18221
LP57 JUF,5768
IO65 TQE,10924
OW13 FTY,8907
VY65 MLA,28781
SC12 AWB,8385
FB05 NXR,6432
CR61 UKI,9094
MY56 RKS,4300
NE13 WYO,15649
EK62 RAJ,12592
DT08 FTU,9760
TI57 KVB,8772
XK60 PEP,9383
SC05 AUO,5251
MR07 NML,4290
RZ66 UZR,31447
VN12 SOD,13857
XL09 ZEC,13836
YV58 OWG,4856
OZ13 ZXK,24017
OU11 WIX,17593
YY64 GGE,22234
GH12 DBB,8331
BS61 FQD,13708
AW61 BSI,11623
JZ10 ARU,10812
NG56 ZKB,4198
AH57 AGO,8017
GV16 TFE,27114
SD59 XAI,15161
CS15 MKR,28728
JP62 HFP,13201
NI12 FQF,13007
GA05 HGI,2977
FF64 BED,16383
PR66 LDL,31582
GI12 UDQ,18591
WS60 VQV,16376
SJ07 QUV,4774
MV09 JUK,12322
DZ62 VSI,17929
WB07 ODY,6505
LP08 JIU,9027
CH15 VVC,23330
GL07 JRU,5450
FH60 QWF,12256
FW05 SQY,3994
EN06 DDP,4535
EV64 NXA,12663
BX64 IGV,16308
XP62 HYU,11835
LS13 VRT,14241
IM64 RMF,18730
CC08 UOX,10456
ST65 YCV,27383
EK07 QTE,6383
SN63 UNZ,23009
GG10 FZP,10274
MJ64 KMF,15725
FN60 SRG,6574
LY64 JNP,13295
CX64 SAI,26794
MD56 RNT,3953
LS63 WCI,11314
YL62 JAC,18389
HK60 ICQ,6740
TK63 BJP,18088
MY09 QBO,8381
AL13 NHR,14617
UU06 LZG,4309
FJ14 YBM,16332
AR05 JBZ,3533
EG16 TYM,25197
IB55 CGF,4827
VV08 VJX,13368
BA10 GTS,6679
PY06 QFQ,7567
LY60 TBW,11285
WJ11 SRU,7209
DL07 FFP,6965
SI59 LRE,5223
PW11 URC,16792
ZF07 XWX,6425
PO65 HZT,14389
XL66 ONP,24369
FH11 ZNK,14840
GS63 UEY,14154
PB09 JEV,8363
EJ10 FRY,11869
CM09 EQQ,13189
YC15 PDY,29042
GP05 OPU,5793
FV55 OUQ,2024
CD58 TIJ,4835
QS06 YKC,3051
ZM05 IDA,4439
CD05 BBG,3780
IT64 ODS,10275
EW15 BFW,16901
DF66 XOX,25241
XH07 SGU,6741
AZ59 UPI,14411
JO05 QGP,3474
PH13 BBB,20402
OB07 ART,7760
AP58 ENX,4936
DI12 VDJ,17112
GG58 RMB,7146
HG63 FQF,19937
KS56 MHU,6187
YA66 HVO,15440
AD07 ART,10909
PH56 QBK,8625
NB61 FFP,17533
AK58 GUK,4369
