Pos,Team,Pld,W,D,L,GF,GA
1,Leicester City (C),38,23,12,3,68,36
2,Arsenal,38,20,11,7,65,36
3,Tottenham Hotspur,38,19,13,6,69,35
4,Manchester City,38,19,9,10,71,41
5,Manchester United,38,19,9,10,49,35
6,Southampton,38,18,9,11,59,41
7,West Ham United,38,16,14,8,65,51
8,Liverpool,38,16,12,10,63,50
9,Stoke City,38,14,9,15,41,55
10,Chelsea,38,12,14,12,59,53
11,Everton,38,11,14,13,59,55
12,Swansea City,38,12,11,15,42,52
13,Watford,38,12,9,17,40,50
14,West Bromwich Albion,38,10,13,15,34,48
15,Crystal Palace,38,11,9,18,39,51
16,AFC Bournemouth,38,11,9,18,45,67
17,Sunderland,38,9,12,17,48,62
18,Newcastle United (R),38,9,10,19,44,65
19,Norwich City (R),38,9,7,22,39,67
20,Aston Villa (R),38,3,8,27,27,76
