month,deaths
Jan 1969,1687
Feb 1969,1508
Mar 1969,1507
Apr 1969,1385
May 1969,1632
Jun 1969,1511
Jul 1969,1559
Aug 1969,1630
Sep 1969,1579
Oct 1969,1653
Nov 1969,2152
Dec 1969,2148
Jan 1970,1752
Feb 1970,1765
Mar 1970,1717
Apr 1970,1558
May 1970,1575
Jun 1970,1520
Jul 1970,1805
Aug 1970,1800
Sep 1970,1719
Oct 1970,2008
Nov 1970,2242
Dec 1970,2478
Jan 1971,2030
Feb 1971,1655
Mar 1971,1693
Apr 1971,1623
May 1971,1805
Jun 1971,1746
Jul 1971,1795
Aug 1971,1926
Sep 1971,1619
Oct 1971,1992
Nov 1971,2233
Dec 1971,2192
Jan 1972,2080
Feb 1972,1768
Mar 1972,1835
Apr 1972,1569
May 1972,1976
Jun 1972,1853
Jul 1972,1965
Aug 1972,1689
Sep 1972,1778
Oct 1972,1976
Nov 1972,2397
Dec 1972,2654
Jan 1973,2097
Feb 1973,1963
Mar 1973,1677
Apr 1973,1941
May 1973,2003
Jun 1973,1813
Jul 1973,2012
Aug 1973,1912
Sep 1973,2084
Oct 1973,2080
Nov 1973,2118
Dec 1973,2150
Jan 1974,1608
Feb 1974,1503
Mar 1974,1548
Apr 1974,1382
May 1974,1731
Jun 1974,1798
Jul 1974,1779
Aug 1974,1887
Sep 1974,2004
Oct 1974,2077
Nov 1974,2092
Dec 1974,2051
Jan 1975,1577
Feb 1975,1356
Mar 1975,1652
Apr 1975,1382
May 1975,1519
Jun 1975,1421
Jul 1975,1442
Aug 1975,1543
Sep 1975,1656
Oct 1975,1561
Nov 1975,1905
Dec 1975,2199
Jan 1976,1473
Feb 1976,1655
Mar 1976,1407
Apr 1976,1395
May 1976,1530
Jun 1976,1309
Jul 1976,1526
Aug 1976,1327
Sep 1976,1627
Oct 1976,1748
Nov 1976,1958
Dec 1976,2274
Jan 1977,1648
Feb 1977,1401
Mar 1977,1411
Apr 1977,1403
May 1977,1394
Jun 1977,1520
Jul 1977,1528
Aug 1977,1643
Sep 1977,1515
Oct 1977,1685
Nov 1977,2000
Dec 1977,2215
Jan 1978,1956
Feb 1978,1462
Mar 1978,1563
Apr 1978,1459
May 1978,1446
Jun 1978,1622
Jul 1978,1657
Aug 1978,1638
Sep 1978,1643
Oct 1978,1683
Nov 1978,2050
Dec 1978,2262
Jan 1979,1813
Feb 1979,1445
Mar 1979,1762
Apr 1979,1461
May 1979,1556
Jun 1979,1431
Jul 1979,1427
Aug 1979,1554
Sep 1979,1645
Oct 1979,1653
Nov 1979,2016
Dec 1979,2207
Jan 1980,1665
Feb 1980,1361
Mar 1980,1506
Apr 1980,1360
May 1980,1453
Jun 1980,1522
Jul 1980,1460
Aug 1980,1552
Sep 1980,1548
Oct 1980,1827
Nov 1980,1737
Dec 1980,1941
Jan 1981,1474
Feb 1981,1458
Mar 1981,1542
Apr 1981,1404
May 1981,1522
Jun 1981,1385
Jul 1981,1641
Aug 1981,1510
Sep 1981,1681
Oct 1981,1938
Nov 1981,1868
Dec 1981,1726
Jan 1982,1456
Feb 1982,1445
Mar 1982,1456
Apr 1982,1365
May 1982,1487
Jun 1982,1558
Jul 1982,1488
Aug 1982,1684
Sep 1982,1594
Oct 1982,1850
Nov 1982,1998
Dec 1982,2079
Jan 1983,1494
Feb 1983,1057
Mar 1983,1218
Apr 1983,1168
May 1983,1236
Jun 1983,1076
Jul 1983,1174
Aug 1983,1139
Sep 1983,1427
Oct 1983,1487
Nov 1983,1483
Dec 1983,1513
Jan 1984,1357
Feb 1984,1165
Mar 1984,1282
Apr 1984,1110
May 1984,1297
Jun 1984,1185
Jul 1984,1222
Aug 1984,1284
Sep 1984,1444
Oct 1984,1575
Nov 1984,1737
Dec 1984,1763
